source	term_id	term_name	p_value	intersection_size	query_size	log_pval	overlap_ratio	term_clean
GO:BP	GO:0071345	cellular response to cytokine stimulus	0.00133169862242573	7	28	2.87559404951022	25	cellular response to cytokine stimulus
GO:BP	GO:0051716	cellular response to stimulus	0.00148818315743514	21	28	2.82734361491362	75	cellular response to stimulus
GO:BP	GO:0140546	defense response to symbiont	0.00175634882271637	8	28	2.75538922605165	28.5714285714286	defense response to symbiont
GO:BP	GO:0010604	positive regulation of macromolecule metabolic process	0.00175634882271637	14	28	2.75538922605165	50	positive regulation of macromolecule metabolic process
GO:BP	GO:0046649	lymphocyte activation	0.00175634882271637	7	28	2.75538922605165	25	lymphocyte activation
GO:BP	GO:0006954	inflammatory response	0.00187871590209829	7	28	2.72613888859529	25	inflammatory response
GO:BP	GO:0071396	cellular response to lipid	0.00187871590209829	6	28	2.72613888859529	21.4285714285714	cellular response to lipid
GO:BP	GO:0019221	cytokine-mediated signaling pathway	0.00222152047715023	6	28	2.65334967923951	21.4285714285714	cytokine-mediated signaling pathway
GO:BP	GO:1901652	response to peptide	0.00222152047715023	7	28	2.65334967923951	25	response to peptide
GO:BP	GO:0034097	response to cytokine	0.00222152047715023	7	28	2.65334967923951	25	response to cytokine
GO:BP	GO:0046631	alpha-beta T cell activation	0.00227592588609556	4	28	2.64284188453699	14.2857142857143	alpha-beta T cell activation
GO:BP	GO:0009617	response to bacterium	0.00266766497273013	6	28	2.57386871359761	21.4285714285714	response to bacterium
GO:BP	GO:0071222	cellular response to lipopolysaccharide	0.00269072290370527	4	28	2.57013102449119	14.2857142857143	cellular response to lipopolysaccharide
GO:BP	GO:0060255	regulation of macromolecule metabolic process	0.00269072290370527	19	28	2.57013102449119	67.8571428571429	regulation of macromolecule metabolic process
GO:BP	GO:0051135	positive regulation of NK T cell activation	0.00270512986995394	2	28	2.56781188011362	7.14285714285714	positive regulation of NK T cell activation
GO:BP	GO:0046635	positive regulation of alpha-beta T cell activation	0.00270512986995394	3	28	2.56781188011362	10.7142857142857	positive regulation of alpha-beta T cell activation
GO:BP	GO:0023052	signaling	0.00276433006056338	19	28	2.55841010351078	67.8571428571429	signaling
GO:BP	GO:0007154	cell communication	0.00283184793948119	19	28	2.54793007047988	67.8571428571429	cell communication
GO:BP	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	0.00299185864163335	4	28	2.52405892972766	14.2857142857143	regulation of adaptive immune response based on somati...
GO:BP	GO:0048518	positive regulation of biological process	0.00301199529678073	19	28	2.52114571062	67.8571428571429	positive regulation of biological process
GO:BP	GO:0050794	regulation of cellular process	0.00301199529678073	26	28	2.52114571062	92.8571428571429	regulation of cellular process
GO:BP	GO:0071219	cellular response to molecule of bacterial origin	0.00301199529678073	4	28	2.52114571062	14.2857142857143	cellular response to molecule of bacterial origin
GO:BP	GO:0032729	positive regulation of type II interferon production	0.00307413578521789	3	28	2.51227695353489	10.7142857142857	positive regulation of type II interferon production
GO:BP	GO:0032700	negative regulation of interleukin-17 production	0.00355520665252208	2	28	2.44913515008426	7.14285714285714	negative regulation of interleukin-17 production
REAC	REAC:R-HSA-9020591	Interleukin-12 signaling	0.00360313313752857	3	21	2.44331969018781	14.2857142857143	Interleukin-12 signaling
REAC	REAC:R-HSA-9020933	Interleukin-23 signaling	0.00364196837047858	2	21	2.43866383025616	9.52380952380952	Interleukin-23 signaling
GO:BP	GO:0002819	regulation of adaptive immune response	0.00388010359808661	4	28	2.41115667866437	14.2857142857143	regulation of adaptive immune response
GO:BP	GO:0098586	cellular response to virus	0.0039162223550703	3	28	2.40713265781922	10.7142857142857	cellular response to virus
GO:BP	GO:0051133	regulation of NK T cell activation	0.00405211330614545	2	28	2.39231841929751	7.14285714285714	regulation of NK T cell activation
GO:BP	GO:0051239	regulation of multicellular organismal process	0.00421772588062036	12	28	2.37492164944302	42.8571428571429	regulation of multicellular organismal process
GO:BP	GO:1901700	response to oxygen-containing compound	0.00422139338181362	8	28	2.3745441750689	28.5714285714286	response to oxygen-containing compound
