Gene	SimesP
PEX14	0.0345018704839975
RN7SL614P	0.0372207010211226
CASZ1	0.0327641380841593
HSPE1P24	0.0271941159240156
CIROZ	0.036028218850225
CFL1P6	0.04323386262027
TARDBP	0.04323386262027
MTCYBP45	0.0154010729929717
DISP3	0.0350361242430854
LINC01647	0.0444902848213274
FBXO2	0.00859256119576652
FBXO44	0.00716046766313877
MAD2L2	0.0075184910462957
FBXO6	0.0075184910462957
DRAXIN	0.00773330507618987
AGTRAP	0.0494319606894776
C1orf167	0.0469196826073207
C1orf167-AS1	0.0466025218621338
MTHFR	0.02314097395244
CLCN6	0.0301269283531766
NPPA	0.0244508404025781
NPPB	0.0205212410521638
SBF1P2	0.0183381303019336
RNU5E-1	0.0233461623504965
RNU5E-4P	0.0242800088445164
KIAA2013	0.0323733451260218
PLOD1	0.0315640114978713
MFN2	0.00580409641373661
MIIP	0.00636699683073496
MIR6729	0.00636699683073496
RN7SL649P	0.00636699683073496
TNFRSF8	0.00519307958074681
RNU6-777P	0.00442778364253149
RPL23AP89	0.0044824476381183
MIR7846	0.0194324675743365
TNFRSF1B	0.0194324675743365
MIR4632	0.0337570197862876
RPL10P17	0.0263170431516093
SNORA70	4.42176679717841e-06
VPS13D	0.0195775999903686
SNORA59A	0.0140654235284173
LINC02766	0.0307250141129146
DHRS3	0.0399278173830985
RNU6ATAC18P	0.0343703958401175
MIR6730	0.0346393815466923
AADACL4	0.0459783923600161
AADACL3	0.0148655680791762
PRAMEF20	0.0169212728109448
LRRC38	0.0195783321779527
BRWD1P1	0.0305827753182221
PDPN	0.0223578320532376
RNA5SP41	0.0127759040304215
PRDM2	0.0297576359358352
KAZN	6.22463403307431e-06
RNU6-1265P	0.0412974616204632
KAZN-AS1	0.0203021281798973
TMEM51-AS1	0.0494910584407789
TMEM51	0.018887383421356
ZBTB2P1	0.028331075132034
FHAD1	0.0320125658749345
EFHD2-AS1	0.0311473613918281
FHAD1-AS1	0.0452632704952692
EFHD2	0.0302821569087218
CTRC	0.0202149029056562
CELA2A	0.0130209804628105
CELA2B	0.0100602793261658
CASP9	0.0106951084042198
DNAJC16	0.0200324690039324
SCARNA21B	0.0103469679415257
AGMAT	0.0236430932149667
CHCHD2P6	0.0255849194501521
RNU7-179P	0.0256761967886899
CD24P1	0.0235887011148127
DDI2	0.0263414655669234
RSC1A1	0.0267442183501811
PLEKHM2	0.0319198463085773
SLC25A34	0.033589589679607
SLC25A34-AS1	0.0333315233198735
TMEM82	0.0329490361308126
FBLIM1	0.0322624862405522
SPEN-AS1	0.0387149834886626
RPL12P14	0.038835633225172
